,Appliance,Accuracy,Precision,Recall,F1
0,Laptop,0.326677987,0.32344293,0.303521466,0.313165701
1,Monitor,0.280461385,0.281892356,0.208966743,0.240012369
2,Speakers,0.39653961,0.394229613,0.383689866,0.38888834
3,Server,0.666178738,1,0.666178738,0.799648588
4,Router,0.275386927,1,0.275386927,0.43184844
5,Server_hdd,0.13183832,1,0.13183832,0.232963167
6,Kettle,0.019673283,1,0.019673283,0.038587425
7,Rice Cooker,0.008021547,1,0.008021547,0.015915428
8,Running Machine,0.073638191,1,0.073638191,0.137175059
9,Laptop2,0.154917345,1,0.154917345,0.268274341
10,Washing Machine,0.012090872,1,0.012090872,0.023892858
11,Dish Washer,0.025830942,1,0.025830942,0.050361013
12,Fridge,0.524737982,1,0.524737982,0.68829922
13,Microwave,0.445098269,0.806237558,0.021025854,0.040982915
14,Toaster,0.494954818,0.684080116,0.061882436,0.113497773
15,Playstation,0.635995472,1,0.635995472,0.777502729
16,Modem,0.986630755,1,0.986630755,0.993270393
17,Cooker,0.017126295,1,0.017126295,0.033675848